order,letter,letterKey,slug,associationWordHe,associationWordEn,chapter,location,targetSourcePath,targetRuntimePath,transitionFromPrevHe,sceneBriefHe,sceneBriefEn,dubiRole,cameraPlan,promptVersion
01,א,alef,alef,אריה,lion,A-gateway-meadow,שער השביל,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-01-alef.jpg","/images/storybooks/letter-story-v2/scene-01-alef","פתיחת המסע בשער הזוהר.","דובי פוגש אריה ידידותי ליד שער שביל האותיות.","Dubi meets a friendly lion at the glowing letter-trail gate.",present,"medium-wide; lion focal midground; Dubi right foreground guiding leftward",v1
02,ב,bet,bet,בלון,balloon,A-gateway-meadow,שביל האבנים,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-02-bet.jpg","/images/storybooks/letter-story-v2/scene-02-bet","אבן השביל ממשיכה מהשער.","בלון צבעוני מתרומם מהשער ודובי עוקב אחריו בשביל.","A colorful balloon lifts from the gate while Dubi follows along the stone path.",present,"medium shot; balloon focal upper-left; Dubi right-mid pointing",v1
03,ג,gimel,gimel,גזר,carrot,A-gateway-meadow,גינת הגזר,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-03-gimel.jpg","/images/storybooks/letter-story-v2/scene-03-gimel","סרט הבלון מוביל לתחנה הבאה.","הבלון נוחת ליד גינת גזר גדולה ודובי מגלה את הרמז הבא.","The balloon lands near a carrot garden where Dubi discovers the next clue.",present,"medium-wide; carrot focal center; balloon ribbon visible rear",v1
04,ד,dalet,dalet,דג,fish,A-gateway-meadow,בריכה קטנה,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-04-dalet.jpg","/images/storybooks/letter-story-v2/scene-04-dalet","סל הגזר מחליק לשפת הבריכה.","ליד הבריכה דג קופץ מהמים ודובי מצביע על השביל שממשיך.","By a small pond, a fish jumps as Dubi points to the path ahead.",present,"medium shot; fish focal splash center-left; Dubi right",v1
05,ה,he,he,הר,mountain,B-hill-trail,שביל ההר,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-05-he.jpg","/images/storybooks/letter-story-v2/scene-05-he","הנחל מהבריכה מטפס לכיוון ההר.","דובי מטפס בשביל להר עגול ורך עם שלט דרך זוהר.","Dubi climbs toward a soft round mountain marked by a glowing trail sign.",present,"wide shot; mountain focal center; Dubi lower-right climbing",v1
06,ו,vav,vav,ורד,rose,B-hill-trail,מדרון ורדים,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-06-vav.jpg","/images/storybooks/letter-story-v2/scene-06-vav","אותו שביל הר מוביל לערוגת ורדים.","בערוגת ורדים בולט ורד אחד גדול ודובי מריח ומחייך.","In a rose patch, one large rose stands out while Dubi smiles and smells it.",present,"medium close-up; rose focal center; Dubi right edge",v1
07,ז,zayin,zayin,זברה,zebra,B-hill-trail,מעבר הזברה,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-07-zayin.jpg","/images/storybooks/letter-story-v2/scene-07-zayin","עלי ורדים מפוזרים על הדרך.","בפנייה הבאה עומדת זברה ידידותית במעבר שבילים.","At the next turn, a friendly zebra stands at a trail crossing.",present,"medium-wide; zebra focal midground; rose petals foreground",v1
08,ח,het,het,חתול,cat,B-hill-trail,בית חלון קטן,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-08-het.jpg","/images/storybooks/letter-story-v2/scene-08-het","סימוני המעבר ממשיכים עד חלון עץ.","חתול סקרן מציץ מחלון קטן ודובי מזמין להתקדם הלאה.","A curious cat peeks from a small window as Dubi invites the journey forward.",present,"medium shot; cat focal window center-left; Dubi right foreground",v1
09,ט,tet,tet,טווס,peacock,C-village-weather,קרחת היער,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-09-tet.jpg","/images/storybooks/letter-story-v2/scene-09-tet","פנס החלון תלוי גם בקרחת היער.","בקרחת היער טווס פותח מניפה צבעונית ודובי מסתכל בהתרגשות.","In a forest clearing, a peacock opens bright feathers while Dubi watches excitedly.",present,"wide shot; peacock focal center; lantern prop background",v1
10,י,yod,yod,ילד,child,C-village-weather,שער הכפר,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-10-yod.jpg","/images/storybooks/letter-story-v2/scene-10-yod","נוצת הטווס מעטרת את שער הכפר.","ילד מנופף לדובי ליד שער קטן ומראה את הכיוון הבא.","A child waves to Dubi at a small gate and points to the next direction.",present,"medium shot; child focal center-left; Dubi right with backpack",v1
11,כ,kaf,kaf,כובע,hat,C-village-weather,עמוד השלטים,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-11-kaf.jpg","/images/storybooks/letter-story-v2/scene-11-kaf","צבע הצעיף של הילד חוזר על עמוד השלטים.","כובע תלוי על עמוד שלטים ודובי עוצר לבדוק את המפה.","A hat hangs on a signpost while Dubi pauses to check the map.",present,"medium shot; hat focal center; Dubi right-lower",v1
