scene,key,display_text,audio_path,audio_file_exists
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.cueNoImage","כאן מתרגלים בלי תמונה. רק מקשיבים ובוחרים.","/audio/he/games/letter-storybook/checkpoints/one/cue-no-image.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.hint1","רמז ראשון: נשמע שוב את שם האות.","/audio/he/games/letter-storybook/checkpoints/one/hint1.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.hint2","רמז שני: נבדוק את הצורה של האות.","/audio/he/games/letter-storybook/checkpoints/one/hint2.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.hint3","רמז שלישי: נשמע מילת עוגן שמתחילה באות.","/audio/he/games/letter-storybook/checkpoints/one/hint3.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.intro","עמוד בדיקה ראשון הגיע.","/audio/he/games/letter-storybook/checkpoints/one/intro.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.prompt","איזו אות שמעתם? בחרו את האות הנכונה.","/audio/he/games/letter-storybook/checkpoints/one/prompt.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.retry","כמעט! נקשיב שוב וננסה יחד.","/audio/he/games/letter-storybook/checkpoints/one/retry.mp3","yes"
"p24-checkpoint-one","common.games.letterStorybook.checkpoints.one.success","מעולה! עברתם את הבדיקה הראשונה.","/audio/he/games/letter-storybook/checkpoints/one/success.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.cueNoImage","בבדיקה הזאת מתרגלים מעבר לקריאה קצרה.","/audio/he/games/letter-storybook/checkpoints/three/cue-no-image.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.hint1","רמז ראשון: קוראים את המילה לאט.","/audio/he/games/letter-storybook/checkpoints/three/hint1.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.hint2","רמז שני: מחפשים את האות בתחילת המילה.","/audio/he/games/letter-storybook/checkpoints/three/hint2.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.hint3","רמז שלישי: דובי מקריא ומדגיש את הצליל הראשון.","/audio/he/games/letter-storybook/checkpoints/three/hint3.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.intro","עמוד בדיקה שלישי הגיע.","/audio/he/games/letter-storybook/checkpoints/three/intro.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.prompt","נקרא מילה קצרה ונזהה את האות המתאימה.","/audio/he/games/letter-storybook/checkpoints/three/prompt.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.retry","כמעט, עוד ניסיון אחד יחד ונצליח.","/audio/he/games/letter-storybook/checkpoints/three/retry.mp3","yes"
"p26-checkpoint-three","common.games.letterStorybook.checkpoints.three.success","כל הכבוד! סיימתם את כל עמודי הבדיקה.","/audio/he/games/letter-storybook/checkpoints/three/success.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.cueNoImage","עכשיו מתרגלים עם אות דומה שמבלבלת.","/audio/he/games/letter-storybook/checkpoints/two/cue-no-image.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.hint1","רמז ראשון: מקשיבים לצליל הראשון בלבד.","/audio/he/games/letter-storybook/checkpoints/two/hint1.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.hint2","רמז שני: מסתכלים על הקו שמבדיל בין האותיות.","/audio/he/games/letter-storybook/checkpoints/two/hint2.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.hint3","רמז שלישי: דובי מדגים בחירה אחת ואז אתם בוחרים.","/audio/he/games/letter-storybook/checkpoints/two/hint3.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.intro","עמוד בדיקה שני הגיע.","/audio/he/games/letter-storybook/checkpoints/two/intro.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.prompt","מקשיבים לצליל ובוחרים את האות המתאימה.","/audio/he/games/letter-storybook/checkpoints/two/prompt.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.retry","לא נורא, ננסה שוב יחד ובקצב רגוע.","/audio/he/games/letter-storybook/checkpoints/two/retry.mp3","yes"
"p25-checkpoint-two","common.games.letterStorybook.checkpoints.two.success","איזה יופי! עברתם את הבדיקה השנייה.","/audio/he/games/letter-storybook/checkpoints/two/success.mp3","yes"
"p28-celebration","common.games.letterStorybook.completion.nextStep","בפעם הבאה נתרגל זוגות אותיות דומות ונקרא מילים קצרות.","/audio/he/games/letter-storybook/completion/next-step.mp3","yes"
"p28-celebration","common.games.letterStorybook.completion.summary","הכרתם את כל האותיות ואספתם תגים נוצצים.","/audio/he/games/letter-storybook/completion/summary.mp3","yes"
"p28-celebration","common.games.letterStorybook.completion.title","סיימתם את הסיפור של האותיות!","/audio/he/games/letter-storybook/completion/title.mp3","yes"
"global","common.games.letterStorybook.controls.hint","רמז","/audio/he/games/letter-storybook/controls/hint.mp3","yes"
"global","common.games.letterStorybook.controls.iconCueHint","לחצו על אייקון רמז לקבלת עזרה.","/audio/he/games/letter-storybook/controls/icon-cue-hint.mp3","yes"
"global","common.games.letterStorybook.controls.iconCueNext","לחצו על אייקון הבא כדי להמשיך לעמוד הבא.","/audio/he/games/letter-storybook/controls/icon-cue-next.mp3","yes"
"global","common.games.letterStorybook.controls.iconCueReplay","לחצו על אייקון השמעה כדי לשמוע שוב.","/audio/he/games/letter-storybook/controls/icon-cue-replay.mp3","yes"
"global","common.games.letterStorybook.controls.iconCueRetry","לחצו על אייקון נסו שוב כדי לנסות שוב.","/audio/he/games/letter-storybook/controls/icon-cue-retry.mp3","yes"
"global","common.games.letterStorybook.controls.next","הבא","/audio/he/games/letter-storybook/controls/next.mp3","yes"
"global","common.games.letterStorybook.controls.replay","השמעה חוזרת","/audio/he/games/letter-storybook/controls/replay.mp3","yes"
"global","common.games.letterStorybook.controls.retry","נסו שוב","/audio/he/games/letter-storybook/controls/retry.mp3","yes"
"p00-cover","common.games.letterStorybook.cover.goal","בואו נאסוף יחד את כל תגי האותיות.","/audio/he/games/letter-storybook/cover/goal.mp3","yes"
"p00-cover","common.games.letterStorybook.cover.startPrompt","מוכנים להתחיל במסע עם דובי?","/audio/he/games/letter-storybook/cover/start-prompt.mp3","yes"
"p00-cover","common.games.letterStorybook.cover.welcome","ברוכים הבאים לסיפור של האותיות.","/audio/he/games/letter-storybook/cover/welcome.mp3","yes"
"global","common.games.letterStorybook.feedback.encouragement.v1","כמעט, ננסה שוב ביחד.","/audio/he/games/letter-storybook/feedback/encouragement/v1.mp3","yes"
"global","common.games.letterStorybook.feedback.encouragement.v2","אתם בדרך הנכונה.","/audio/he/games/letter-storybook/feedback/encouragement/v2.mp3","yes"
